[2026-02-13T01:21:04.397641] Crowdstrike | Front End Engineer 1 | Austin, TX | Reasons: FAANG+, Location: Austin, TX
[2026-02-13T01:21:04.398647] Mercury Insurance | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-13T01:21:04.398647] Attentive | Software Engineer 1 | SF | Reasons: Location: SF
[2026-02-13T01:21:04.400007] Intuit | Software Engineer 1 | Mountain View, CA | Reasons: Location: Mountain View, CA
[2026-02-13T01:21:04.401006] Slack | Software Engineer 1 - Product Backend | Raleigh, NC | Reasons: FAANG+
[2026-02-13T01:21:04.401006] Salesforce | Software Engineer 1 - Product Backend | Raleigh, NC | Reasons: FAANG+
[2026-02-13T01:21:04.402037] College Board | Software Engineer 1 - New Grad | Remote in USA | Reasons: Location: Remote in USA
[2026-02-13T01:21:04.403042] FiscalNote | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-13T01:21:04.403042] Stripe | Software Engineer – New Grad | London, UK | Reasons: FAANG+, Top Company
[2026-02-13T01:21:04.404042] Sierra | Software Engineer – New Grad - Infrastructure | SF | Reasons: Location: SF
[2026-02-13T01:21:04.405042] 8VC | Software Engineer New Grad | SF | Reasons: Location: SF
[2026-02-13T01:21:04.405042] Crunchyroll | Software Engineer 1 - Lrx Core | SF | Reasons: Location: SF
[2026-02-13T01:29:30.617221] Crowdstrike | Front End Engineer 1 | Austin, TX | Reasons: FAANG+, Location: Austin, TX
[2026-02-13T01:29:30.618227] Mercury Insurance | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-13T01:29:30.619221] Hewlett Packard Enterprise | Software Engineer 1 | Roseville, CA | Reasons: Location: Roseville, CA
[2026-02-13T01:29:30.619770] Roche | Software Engineer 1 - Cloud | Santa Clara, CA | Reasons: Location: Santa Clara, CA
[2026-02-13T01:29:30.619770] AAA Club Alliance | Entry Level Data Scientist | Newport Beach, CA | Reasons: Location: Newport Beach, CA
[2026-02-13T01:34:39.945332] Anduril | Early Career Software Engineer - Mixed Reality | United States | Reasons: Top Company
[2026-02-13T01:34:39.946329] Airtable | Software Engineer, New Grad (2026) | San Francisco, CA, New York, NY | Reasons: Top Company, Location: San Francisco, CA
[2026-02-13T01:34:39.947329] RTX | Software Engineer 1 - Rdpl | Anaheim, CA | Reasons: Location: Anaheim, CA
[2026-02-13T01:34:39.947329] Cox | Software Engineer 1 | Irvine, CA | Reasons: Location: Irvine, CA
[2026-02-13T01:34:39.948835] RTX | Software Engineer 1 | Anaheim, CA | Reasons: Location: Anaheim, CA
[2026-02-13T01:34:39.948835] NOV | Product Engineer 1 | Houston, TX | Reasons: Location: Houston, TX
[2026-02-13T01:34:39.949847] Toast | Software Engineer 1 - Backend - Employee Lifecycle Management | Remote in Canada | Reasons: Top Company, Location: Remote in Canada
[2026-02-13T01:34:39.949847] Thales | Software Developer – New Grad - C#/C++ - Wpf | Fredericton, NB, Canada | Reasons: Location: Fredericton, NB, Canada
[2026-02-13T01:34:39.950850] Giga AI | Software Engineer 1/2 | NYC, SF | Reasons: Location: NYC, Location: SF
[2026-02-13T01:34:39.951852] QuinStreet | Entry Level Software Engineer | San Mateo, CA | Reasons: Location: San Mateo, CA
[2026-02-13T01:34:39.951852] OpenSesame | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-13T01:34:39.952841] NVIDIA | Software Engineer – PhD New College Grad 2026 - Agentic AI for Science | Santa Clara, CA | Reasons: FAANG+, Top Company, Location: Santa Clara, CA
[2026-02-13T01:34:39.952841] G2 | Software Engineer 1 - Ruby on Rails | Remote in USA | Reasons: Location: Remote in USA
[2026-02-14T00:31:10.993408] Murj | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-14T00:31:10.994408] RTX | Software Engineer 1 | Anaheim, CA | Reasons: Location: Anaheim, CA
[2026-02-14T00:31:10.995407] Badger Meter | Software Engineer 1 | Los Gatos, CA | Reasons: Location: Los Gatos, CA
[2026-02-14T00:31:10.996407] Anduril | Early Career Software Engineer - Mixed Reality | United States | Reasons: Top Company
[2026-02-14T00:31:10.996407] Airtable | Software Engineer, New Grad (2026) | San Francisco, CA, New York, NY | Reasons: Top Company, Location: San Francisco, CA
[2026-02-14T00:31:10.997914] RTX | Software Engineer 1 - Rdpl | Anaheim, CA | Reasons: Location: Anaheim, CA
[2026-02-14T00:31:10.998431] NOV | Product Engineer 1 | Houston, TX | Reasons: Location: Houston, TX
[2026-02-14T00:31:10.999440] Toast | Software Engineer 1 - Backend - Employee Lifecycle Management | Remote in Canada | Reasons: Top Company, Location: Remote in Canada
[2026-02-14T00:31:10.999948] Thales | Software Developer – New Grad - C#/C++ - Wpf | Fredericton, NB, Canada | Reasons: Location: Fredericton, NB, Canada
[2026-02-14T00:31:11.000453] Giga AI | Software Engineer 1/2 | NYC, SF | Reasons: Location: NYC, Location: SF
[2026-02-14T00:31:11.001459] QuinStreet | Entry Level Software Engineer | San Mateo, CA | Reasons: Location: San Mateo, CA
[2026-02-14T00:31:11.002087] OpenSesame | Software Engineer 1 | Remote in USA | Reasons: Location: Remote in USA
[2026-02-14T00:31:11.002087] NVIDIA | Software Engineer – PhD New College Grad 2026 - Agentic AI for Science | Santa Clara, CA | Reasons: FAANG+, Top Company, Location: Santa Clara, CA
